S: 38747.9918	9.1901s	[0, 7, 11, 13, 14, 16, 28, 29, 35, 46, 61, 62, 63, 65, 72, 78, 84, 90, 91, 96, 99, 100, 102, 104, 105, 107, 108, 111, 113, 123, 125, 134, 140, 143, 144, 147, 153, 162, 167, 171, 177, 180, 184, 190, 192, 193, 199, 205, 209, 210, 211, 222, 223, 231, 232, 236, 240, 243, 244, 245, 250, 251, 256, 259, 263, 269, 271, 274, 295, 296, 297, 298]
S: 38281.8172	10.781s	[0, 6, 11, 16, 19, 20, 21, 24, 25, 34, 40, 42, 44, 53, 56, 59, 61, 66, 68, 71, 74, 77, 81, 85, 87, 96, 97, 101, 105, 106, 108, 110, 112, 120, 122, 125, 137, 147, 160, 161, 162, 163, 166, 167, 177, 178, 179, 181, 193, 196, 197, 205, 208, 210, 215, 219, 223, 235, 245, 247, 250, 252, 257, 258, 265, 271, 272, 273, 274, 281, 290, 295]
S: 36247.7877	7.976s	[3, 7, 9, 11, 14, 23, 32, 33, 34, 38, 41, 45, 46, 50, 53, 54, 57, 71, 74, 77, 83, 88, 95, 99, 110, 115, 122, 131, 139, 146, 149, 150, 153, 156, 164, 172, 185, 186, 198, 203, 206, 207, 209, 211, 214, 216, 217, 222, 234, 238, 239, 242, 244, 246, 249, 250, 251, 257, 258, 259, 262, 263, 265, 270, 273, 274, 275, 282, 284, 285, 287, 295, 298]
S: 36227.0515	8.8331s	[1, 8, 11, 17, 20, 24, 25, 26, 29, 45, 48, 49, 51, 54, 57, 78, 82, 86, 88, 100, 104, 116, 119, 121, 122, 124, 126, 130, 131, 132, 139, 142, 149, 150, 155, 167, 170, 175, 177, 178, 180, 189, 192, 194, 197, 201, 208, 226, 228, 229, 235, 239, 240, 242, 253, 255, 266, 270, 271, 272, 276, 283, 293, 297]
S: -1	0.3598s	[]
S: 17171.9587	11.26s	[0, 1, 4, 7, 13, 14, 18, 23, 24, 30, 39, 43, 49, 55, 59, 91, 95, 125, 141, 153, 157, 161, 169, 190, 191, 192, 194, 207, 224, 225, 256, 262, 266, 277, 278, 281, 283, 286, 287, 289, 294, 299]
S: 17246.9759	9.8192s	[3, 6, 7, 9, 24, 29, 41, 45, 48, 50, 53, 78, 87, 104, 108, 111, 123, 127, 135, 143, 146, 150, 152, 169, 176, 177, 181, 187, 193, 194, 196, 197, 201, 212, 219, 235, 244, 253, 256, 257, 280, 282, 295]
S: 18600.2731	11.1606s	[4, 11, 34, 37, 44, 46, 51, 70, 72, 90, 91, 92, 95, 98, 99, 101, 103, 112, 117, 122, 130, 136, 145, 147, 148, 156, 162, 169, 170, 173, 175, 180, 187, 200, 205, 207, 216, 217, 224, 235, 246, 247, 261, 264, 268, 275, 284]
S: 17815.4032	9.0998s	[4, 8, 21, 25, 27, 29, 35, 56, 61, 65, 67, 74, 82, 87, 88, 89, 106, 109, 122, 124, 134, 144, 146, 149, 151, 154, 160, 164, 171, 172, 176, 190, 194, 215, 228, 233, 244, 249, 262, 270, 282, 288, 293]
S: 18333.9574	9.6719s	[4, 6, 7, 9, 14, 15, 17, 18, 22, 23, 32, 43, 50, 53, 54, 57, 62, 67, 115, 119, 131, 138, 153, 155, 156, 162, 166, 180, 187, 204, 231, 232, 236, 241, 246, 252, 254, 264, 269, 282, 289, 290, 294, 295]
S: 10414.7854	11.1358s	[0, 35, 38, 61, 75, 76, 77, 81, 85, 101, 108, 116, 117, 128, 174, 182, 188, 193, 218, 223, 227, 244, 253, 295, 297]
S: 8654.3387	8.5661s	[4, 6, 7, 10, 24, 29, 38, 58, 64, 73, 93, 103, 120, 123, 133, 135, 136, 137, 180, 184, 189, 196, 199, 212, 223, 235, 263, 266, 286, 287]
S: 12359.7011	9.866s	[3, 4, 34, 38, 45, 55, 57, 60, 61, 66, 71, 101, 125, 127, 170, 181, 195, 202, 204, 213, 215, 220, 224, 248, 249, 252, 255, 266, 288, 291, 299]
S: 13782.235	9.8391s	[0, 2, 6, 17, 18, 20, 27, 29, 46, 54, 55, 60, 63, 67, 79, 80, 83, 84, 86, 103, 110, 112, 152, 158, 177, 201, 207, 246, 248, 258, 276, 286, 288, 298]
S: 13344.4116	8.8499s	[2, 3, 5, 14, 16, 18, 19, 42, 44, 54, 56, 61, 64, 69, 107, 123, 126, 130, 137, 138, 150, 160, 168, 169, 170, 184, 185, 187, 191, 197, 210, 216, 217, 226, 229, 243, 251, 275, 278]
S: 6494.1079	10.3919s	[7, 20, 35, 38, 43, 49, 56, 63, 70, 71, 78, 88, 90, 108, 125, 128, 129, 159, 237, 278, 282]
S: 10099.4251	10.4071s	[1, 12, 13, 14, 21, 27, 31, 50, 59, 73, 75, 95, 100, 142, 157, 166, 170, 176, 177, 193, 202, 203, 222, 234, 243, 250, 255, 258, 263, 290, 299]
S: 8395.7304	11.515s	[1, 19, 21, 26, 58, 94, 100, 107, 119, 122, 154, 171, 198, 213, 219, 242, 243, 245, 264, 277, 282, 285]
S: 7915.0753	9.4208s	[3, 12, 33, 37, 47, 57, 65, 66, 80, 86, 96, 121, 127, 138, 139, 142, 146, 147, 155, 192, 205, 208, 246, 248, 253, 258, 262, 277]
S: 9064.0348	10.8776s	[7, 53, 67, 69, 84, 108, 111, 117, 121, 124, 134, 142, 147, 163, 174, 196, 205, 207, 212, 215, 220, 228, 230, 248, 256, 267, 284, 288, 291, 296, 297]
